24,AHOLD USA-GIANT PHARMACY-6485,789 East Main Street,,,Mount Joy,17552,Lancaster,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
25,AHOLD USA-GIANT PHARMACY-6504,300 Lincoln Avenue,,,East Stroudsburg,18301,Monroe,1.844.915.1814,https://www.giantfoodstores.com/covid-19vaccine
26,ALMA ILLERY MEDICAL CENTER,7227 HAMILTON AVE,,,Pittsburgh,15208,Allegheny,412-244-4754,
27,AUDUBON FAMILY PHARMACY INC,2812 Egypt Rd Suite E,,,Audubon,19403,Montgomery,484-392-7848,http://www.audubonfamilypharmacy.com/
28,Abington Jefferson Health,1200 Old York Road,,,Abington,19001,Montgomery,,https://jefferson.co1.qualtrics.com/jfe/form/SV_eaFnRURFGL4npsx?utm_source=cv19banner
29,Adams Cumberland Pharmacy-Biglerville,3463 Biglerville Rd,,,Biglerville,17307,Adams,717-323-8230,https://covid-19schedulinglink.as.me/vaccine
30,Adzema Pharmacy,8105 Perry Highway,,,Pittsburgh,15237,Allegheny,412-364-7000,https://www.adzemapharmacy.com/
31,Alberts Pharmacy,201 S. Main Street,,,Pittston,18640,Luzerne,717-323-8230,
32,Allegheny County Health Dept-Immunization Cl,425 1st Avenue,4th Floor,,Pittsburgh,15219,Allegheny,412-578-8062,https://www.alleghenycounty.us/Health-Department/Health-Services/Infectious-Disease-Immunization-Program/Immunization-Clinic.aspx
33,Allentown Health Bureau,Alliance Hall,,245 North 6th Street,Allentown,18102,Lehigh,,https://allentownpaclinics.schedulemeappointments.com/
34,Allied Services Rehab Hospital,475 Morgan Highway,,,Scranton,18508,Lackawanna,570-348-1411,https://www.allied-services.org/coronavirus-information/covid-19-vaccine/
35,Alpha Dermatology Of Pennsylvania,670 Lawn Avenue,1A,,Sellersville,18960,Bucks,215-257-0196,http://www.alphaderm.com/
36,Anderson Pharmacy,334 Main Street,,,Denver,17517,Lancaster,717-336-2292,https://www.Andersononmain.com
37,Aria Health-Bucks,380 N Oxford Valley Road,,,Langhorne,19047,Bucks,215-612-5408,https://www.jeffersonhealth.org/coronavirus-covid-19.html?utm_source=cv19banner
38,Armstrong County Memorial Hospital,One Nolte Dr,,,Kittanning,16201,Armstrong,724-525-9021,https://www.acmh.org/covid-19%20vaccine
39,Armstrong Primary Care Center-Leechburg,116 Main Street,,,Leechburg,15656,Armstrong,724-845-1211,https://www.acmh.org/covid-19-vaccine
40,Armstrong Primary Care Center-S Bethlehem,102 South Street,,,New Bethlehem,16242,Clarion,814-275-2264,http://www.co.clarion.pa.us/government/departments/public_safety/covid-19/index.php
41,Armstrong Primary Care Ctr-Elderton,116 Main Street,,Box 148,Elderton,15736,Armstrong,724-354-5258,
42,Armstrong Primary Care-West Hills,300 Medical Arts Building,300,,Kittanning,16201,Armstrong,724-543-8204,
43,Aston Pharmacy Home Health Center,10 Scheivert Ave,,,Aston,19014,Delaware,610-494-1445,https://www.astonpharmacyhomehealthcenter.com/
44,BRADDOCK FAMILY HEALTH CENTER,404 BRADDOCK AVE,,,Braddock,15104,Allegheny,412-351-6300,http://pchspitt.org/location/
45,BTAMC Pediatric and Family Health Care Center,6678 Towne Center Blvd,6678,,Huntingdon,16652,Huntingdon,814-506-8490,
46,Beaver Falls Health Mart Pharmacy,1314 7th Ave,,,Beaver Falls,15010,Beaver,724-384-0766,https://memawrx.com/beaver-falls
47,Beaver Health Mart Pharmacy,533 Third St,,,Beaver,15009,Beaver,724-774-0919,https://www.beaverhealthmart.com
48,Bechtels Pharmacy Inc,302 Main Street,,,Slatington,18080,Lehigh,610-767-4121,http://www.bechtelspharmacyinc.com/
49,Beittel Becker Pediatric Associates,2150 Noll Drive,100,,Lancaster,17603,Lancaster,717-299-8933,https://www.beittelbecker.com/
50,Bellefonte Medical Clinic,Bellefonte Medical Clinic,,527 Willowbank Street,Bellefonte,16823,Centre,814-353-3337,
51,Bensalem Pharmacy,2112 Street Road,,,Bensalem,19020,Bucks,215-244-4244,https://www.bensalempharmacy.com/
52,Berks Community Health Center Rockland St,1110 Rockland St,,,Reading,19611,Berks,484-772-4075,https://www.berkschc.net
53,Berwick Hospital Center,701 East 16th St.,,Pharmacy,Berwick,18603,Columbia,570-759-5522,https://berwickhospitalcenter.com/covid%E2%80%9119-vaccine/
54,Bethlehem Health Bureau,10 East Church Street,,,Bethlehem,18018,Lehigh,610-865-7083,https://www.bethlehem-pa.gov/Health-Bureau/Communicable-Diseases/COVID-19
55,Big Spring Pharmacy,91 S. High Street,,,Newville,17241,Cumberland,717-323-8230,https://covid-19schedulinglink.as.me/vaccine
56,Black Creek Health Center,75 Pineapple Street,,,Nuremberg,18241,Schuylkill,570-704-4235,
57,Blue Mountain Psychiatry,241 North 13th Street,,,Easton,18042,Northampton,610-253-2500,https://bluepsychiatry.org/
58,Blueberry Pharmacy,1018 W View Park Dr,,,Pittsburgh,15229,Allegheny,412-612-2279,https://www.blueberrypharmacy.com/
59,Boothwyn Apothecary,2341 Chichester Ave,,,Boothwyn,19061,Delaware,610-485-1130,https://boothwynpharmacy.com/?utm_source=google&utm_medium=gmb&utm_campaign=boothwyn-pa-location
60,Broad Top Area Medical Center,4133 Medical Center Drive,,P.O. Box 127,Broad Top,16621,Huntingdon,814-635-2916,http://www.broadtopmedical.com/
61,Broad Top Area Medical Center-Mount Union,95 South Park Street,,,Mount Union,17066,Huntingdon,814-542-8627,
62,Brockie Pharmatech,209 N. Beaver St.,,,York,17401,York,717-854-9028,
63,Brooks Medical Arts Inc-Clarion,180 Greenville Avenue,,,Clarion,16214,Clarion,814-226-7651,http://brooksmedicalarts.com/PatientPortal/MyPractice.aspx?LType=10&UCID={64E82F83-02BE-464A-BC5E-EEA89839D7B0}&TabID={1}
64,Brundages Waymart Pharmacy,238 Belmont Street,,,Waymart,18472,Wayne,570-488-7979,https://www.brundagesrx.com/
65,Bucks County HD Doylestown Clinic,1282 Almshouse Rd,,1st Floor,Doylestown,18901,Bucks,215-345-3318,https://buckscounty.org/government/healthservices/HealthDepartment/CoronavirusInfo/VaccineInfo
66,Burick Center for Health and Wellness,2005 Technology Parkway,350,,Mechanicsburg,17050,Cumberland,717-730-9000,
67,Burns Pharmacy,82 N Pennsylvania Ave,,,Morrisville,19067,Bucks,,https://www.burnspharmacy.com/compounding-pharmacy-updates-on-covid-19-vaccine
68,Bushy Run Pharmacy Inc,2106 Route 130,,,Harrison City,15636,Westmoreland,724-459-7400,
69,Butler Memorial Hospital,ONE HOSPITAL WAY,,,Butler,16001,Butler,1-877-998-2224,https://www.butlerhealthsystem.org
70,CKHS ChesPenn Health Services-East 9th,125 East 9th Street,,,Chester,19013,Delaware,610-485-3800 Ext 638,
71,CMMC-CPG Portage Rural Health Center,3670 Portage Street,Suite 105,,Portage,15946,Cambria,,https://www.conemaugh.org/
72,CMMC-CPG St. Benedict RHC,564 Theatre Road,,,Carrolltown,15722,Cambria,814-534-9000,https://www.conemaugh.org/health-information/covid-19-information/covid-19-vaccine-information#
73,CMMC-Meyersdale Outpatient Center,7160 Mason Dixon Highway,,,Meyersdale,15552,Somerset,1-814-634-5935,https://www.conemaugh.org/directory-search/find-a-location/conemaugh-meyersdale-medical-center-family-health-care-rural-health-clinic
74,Canadohta Lake Health Center,35255 Brown Hill Road,,,Union City,16438,Erie,814-694-2339,
75,Care Options Rx,219 N Baltimore Ave,,,Mount Holly Springs,17065,Cumberland,717-323-8230,https://covid-19schedulinglink.as.me/vaccine
76,Centerville Clinics-Fredericktown,1070 Old National Pike Rd,,,Fredericktown,15333,Washington,724-632-6801,https://centervilleclinics.com/covid-19-vaccine/
77,Centerville Clinics-Uniontown,86 McClellandtown Rd,,,Uniontown,15401,Fayette,724-632-6801,https://centervilleclinics.com/centerville-clinics-inc-covid-19-vaccine-information/
78,Centerville Clinics-Washington,37 Highland Avenue,,,Washington,15301,Washington,724-632-6801,https://centervilleclinics.com/covid-19-vaccine/
79,Central Bucks Family Practice PC Doylestown,252 W Swamp Rd,Suite 41,,Doylestown,18901,Bucks,215-348-1706,http://www.centralbucksfamilypractice.com/
80,Central Outreach Wellness Center,127 Anderson St,Suite 101,,Pittsburgh,15212,Allegheny,412-322-4151,https://www.centraloutreach.com/location/pittsburgh-north-shore-location
81,Centre Volunteers in Medicine,2520 Green Tech Dr.,D,,State College,16803,Centre,814-231-4043,https://cvim.net/covid-vaccination/
82,Centro De Salud Latino Americano,17th & Chew St,403,,Allentown,18104,Lehigh,610-969-3600,https://www.lvhn.org/treatments/covid-19-vaccines
83,Chambers Apothecary,278 Lincoln Way East,,,Chambersburg,17201,Franklin,717-263-0747,https://www.Chambersapothecary.com
84,Chambersburg Hospital (Wellspan Summit),112 N. 7th Street,,,Chambersburg,17201,Franklin,855-851-3641,https://www.wellspan.org/covid19
85,Chester County Health Dept,601 Westtown Road,190,Personal Health Service,West Chester,19382,Chester,610-344-6225,chesco.org/4822/COVID19Vaccine
86,Chester County Pediatrics-Exton,690 West Lincoln Highway,,,Exton,19341,Chester,610-873-5437,
87,Childrens Clinic of Wyomissing,2240  Ridgewood Road,100,,Reading,19610,Berks,610-378-1722,https://www.childrensclinicofwyo.com/
88,Childrens Hospital of Philadelphia-Main,34th Street and Civic Center Boulevard,,,Philadelphia,19104,Philadelphia,1-800-722-7112,https://www.chop.edu/covid-19-vaccine-program
89,Clarion Osteopathic Hospital,1 Hospital Drive,,,Clarion,16214,Clarion,814-223-4157,https://www.butlerhealthsystem.org/CoronaVirus.aspx
90,Clarion Pharmacy,30 Pinnacle Drive,,,Clarion,16214,Clarion,814-226-4015,https://walbergfamilypharmacies.com/clarionpharmacy
91,Clinic for Special Children,535 Bunker Hill Rd,,,Strasburg,17579,Lancaster,717-687-9407,
92,Colonial Pharmacy,708 Ekastown Rd,,PO Box 123,Sarver,16055,Butler,724-353-1420,https://www.colonialpharmacy.net/
93,Comm Health and Dental-Robinson St,351 W Schuylkill Ave,G-15,,Pottstown,19465,Chester,,https://ch-dc.org/coronavirus-covid-19/
94,Community Health Clinic Inc,943 4th Avenue,F,,New Kensington,15068,Westmoreland,724-335-3334,https://www.communityhealthclinic.org/covid-19-vaccine-information.html
95,Community Health Net,1202 State Street,,Administration,Erie,16501,Erie,814-454-4530,https://www.community-healthnet.com/resources/covid-19-vaccination/
96,Community Pharmacy,1256 Pennsylvania Ave,,,Tyrone,16686,Blair,814-684-0230,https://www.cptyrone.com/
97,Community Volunteers in Medicine,300B Lawrence Drive,,,West Chester,19380,Chester,610-836-5990,
98,Compliance Navigation Specialists DBA CNS Occ,38 Copperfield Cir,,,Lititz,17543,Lancaster,800-551-9816,https://www.cnsprotects.com/occupational-medicine/covid-19-vaccine/
99,Concentra Medical Center-Harrisburg,4200 Union Deposit Rd.,,,Harrisburg,17111,Dauphin,717-558-6708,https://www.concentra.com/urgent-care-centers/pennsylvania/harrisburg/harrisburg-east-urgent-care/#nearbylocations_g=&nearbylocations_o=&nearbylocations_a=
100,Conemaugh Memorial Medical Center,1086 FRANKLIN STREET,,PHARMACY DEPARTMENT,Johnstown,15905,Cambria,814-410-8400,
101,Conemaugh Miners Medical Center,290 Haida Ave,,,Hastings,16646,Cambria,814-247-3101,https://www.conemaugh.org/health-information/covid-19-information/covid-19-vaccine-information#
102,Cooks Pharmacy of Kingston,777 wyoming ave,,,Kingston,18704,Luzerne,570-288-3633,https://www.cookspharmacykingston.com/
103,Cornerstone Care Comm Hlth Ctr of Burgettstwn,1227 Smith Township State Road,,,Burgettstown,15021,Washington,724-947-2255,https://cornerstonecare.com/
104,Cornerstone Care Ped Center of Washington,400 Jefferson Avenue,1,,Washington,15301,Washington,724-228-7400,https://cornerstonecare.com/
105,Cornerstone Care Pediatric Ctr-Waynesburg,236 Elm Drive,101,,Waynesburg,15370,Greene,724-228-7400,https://cornerstonecare.com/
106,Cornerstone Care-Clairton,559 Miller Avenue,,,Clairton,150251746,Allegheny,412-226-5454,www.cornerstonecare.com
107,Cornerstone Care-Greensboro,7 Glassworks Road,,,Greensboro,15338,Greene,724-943-3308,https://cornerstonecare.com/
108,Cornerstone Care-Primary Care Ctr-Mt Morris,120 Locust Ave Ext,,*,Mount Morris,15349,Greene,724-324-9001,https://cornerstonecare.com/
109,Cornerstone Care-Rogersville,140 Church Street,102,PO Box 440,Rogersville,15359,Greene,724-499-5188,https://cornerstonecare.com/
110,Cornerstone Coordinated Health Care LLC,40 West Frack Street,,,Frackville,17931,Schuylkill,570-794-6123,https://cornerstonerhc.com/
111,Corry Memorial Hospital SVC-300,965 Shamrock Lane,,Rural Health Clinic,Corry,16407,Erie,814-664-4641 Ext. 1234,
112,County of Delaware,125 Chester Avenue,,,Yeadon,19050,Delaware,,
113,Crozer-Chester Medical Center,1 Medical Center Blvd,,Department of Pharmacy,Upland,19013,Delaware,610-447-2000,https://www.crozerhealth.org/
114,Curahealth Heritage Valley Beaver,1000 Dutch Ridge Rd,,,Beaver,15009,Beaver,724-773-8486,http://curahealth.com/
115,Custom Prescriptions of Lancaster,902 N Duke Street,,,Lancaster,17602,Lancaster,717-393-0518,https://customscripts.us/covid-19-vaccine/
116,DCI Renal Services of Pittsburgh LLC North V,613 East Pittsburgh-McKeesport Blvd,,,North Versailles,15137,Allegheny,412-675-0960,https://www.dciinc.org/north-versailles/
117,DCI-Parks Bend,1143 Industrial Park Road,,,Vandergrift,15690,Westmoreland,724-845-3313,https://www.dciinc.org/parks-bend/
118,DCI-Punxsutawney,158 Elmwood Road,,,Punxsutawney,15767,Jefferson,814-938-9045,https://www.dciinc.org/punxsutawney/
119,DCI-Shenango Valley,737 Brookshire Drive,,,Hermitage,16148,Mercer,724-342-3040,https://www.dciinc.org/shenango-valley/
120,DH BuxMont Medical Associates PC,847 Easton Road,Suite 2500,,Warrington,18976,Bucks,215-918-5555,http://www.buxmontmedical.com/
121,DLP Conemaugh Meyersdale Medical Center,200 Hospital Drive,,,Meyersdale,15552,Somerset,814-634-5911,https://www.conemaugh.org/health-information/covid-19-information/covid-19-vaccine-information#
122,DONORA UNION PHARMACY,601 MCKEAN AVE,,,Donora,15033,Washington,724-379-5630,
123,DVCH Norristown Regional Health Center,1401 DeKalb St,,,Norristown,19401,Montgomery,267-758-5300,https://www.dvch.org
124,Dallastown Medical Associates LLP,1010 Blymire Road,,,Dallastown,17313,York,717-244-4531,https://dallastownmedical.com/
125,Dao Pharmacy Inc. (DBA Rios Pharmacy),35 South Morton Ave.,,,Morton,19070,Delaware,610-543-1858,https://riospharmacy.com/
126,DeBalkos Standard Drug,322 S. Hancock Street,,,Mcadoo,18237,Schuylkill,570-929-1130,https://www.mygnp.com/
127,Delaware County Memorial Hospital,501 N. Lansdowne Ave,,Department of Pharmacy,Drexel Hill,19026,Delaware,610-284-8100,https://www.crozerhealth.org/
128,Delta Medix PC,300 Lackawanna Avenue,200,,Scranton,18503,Lackawanna,570-800-7517,https://www.deltamedix.com/
129,Dermatology  Mohs Surgery Center- Doylestown,2003 Lower State Road,,Building 200,Doylestown,18901,Bucks,215-345-6647,https://dermatologyandmohs.com/
130,Dialysis Clinic Inc-Seven Fields,201 Highpointe Drive,,,Seven Fields,16046,Butler,724-779-3930,https://www.dciinc.org/seven-fields/
131,Dialysis Clinic Inc. Mount Pleasant,20 East Main Street,,,Mount Pleasant,15666,Westmoreland,724-547-6511,https://www.dciinc.org/mount-pleasant/
132,Dingmans Medical,1592 Route 739,,,Dingmans Ferry,18328,Pike,570-828-8000,https://dingmansmedical.com/
133,Doylestown Hospital,595 W State St,,,Doylestown,18901,Bucks,215-489-7426,https://www.doylestownhealth.org/about/news/health-news-and-blog/information-on-coronavirus-covid-19
134,Dr Steven Sklar DO PC,2701 Cowpath Road,,,Hatfield,19440,Montgomery,215-855-2820,
135,EASTON HOSPITAL,PHARMACY DEPT,,250 SOUTH 21ST STREET,Easton,18042,Northampton,1-866-785-8537,https://www.slhn.org/covid-19/protect-yourself/covid-19-vaccine
136,EINSTEIN MEDICAL CENTER MONTGOMERY,EMCM PHARMACY,,559 W GERMANTOWN PIKE,East Norriton,19403,Montgomery,484-622-1000,
137,ELFHCC-East Liberty Family Health Care Center,6023 Harvard Street,,,Pittsburgh,15206,Allegheny,412-661-1444,https://www.ELFHCC.com
138,EMHS Physician Office,100 Hospital Drive,,,Montrose,18801,Susquehanna,570-278-3801,https://www.endlesscare.org
139,East End Family Health Center,117 N Negley Avenue,,,Pittsburgh,15206,Allegheny,412-404-4000,http://pchspitt.org/location/
140,East Shore Pharmacy,2723 Agate Street,,,Harrisburg,17110,Dauphin,717-213-0968,
141,Elizabeth A Gernhardt DO Family Practice,1732 Wyoming Avenue,XX,,Forty Fort,18704,Luzerne,570-331-9134,
142,Encompass Health Rehab  Hospital of Altoona,2005 Valley View Boulevard,,,Altoona,16602,Blair,,https://encompasshealth.com/locations/altoonarehab/covid19
143,Encompass Sewickley,351 Camp Meeting Rd,,,Sewickley,15143,Allegheny,412-741-9500,https://encompasshealth.com/locations/sewickleyrehab
144,Erics RX Shoppe,810 Welsh Rd,F,,Horsham,19044,Montgomery,215-509-5597,https://www.ericsrx.com
145,Erie County Health Department,606 West 2nd Street,,,Erie,16507,Erie,814-451-6700,https://eriecountypa.gov/covid-19/covid-19-vaccine/
146,Esterbrook Pharmacy,301 S 7th Ave,145,,West Reading,19611,Berks,610-376-6542,https://www.esterbrookpharmacy.com/
147,Evangelical Community Hospital,1 Hospital Drive,,,Lewisburg,17837,Union,570-522-4530,https://www.evanhospital.com/virus/
148,Evergreen Pharmacy,1222 Welsh Rd,Ste C1,,North Wales,19454,Montgomery,215-393-0902,
149,Evergreen Pharmacy II Inc,702 Dekalb Pike,,,Blue Bell,19422,Montgomery,610-616-0608,https://evergreenpharmrx.com/
150,Excela Health Esposito Medical Associates LTD,599 North Church Street,,,Mount Pleasant,15666,Westmoreland,724-542-5349,https://espositomedical.com/
151,Excela Health Frick Hospital,508 South Church Street,,,Mount Pleasant,15666,Westmoreland,724-832-4244,https://www.excelahealth.org/Home/Coronavirus-Information/COVID-19-Vaccine-Information
152,Excela Health Latrobe Hospital,One Mellon Way,,,Latrobe,15650,Westmoreland,724-832-4244,https://www.excelahealth.org/Home/Coronavirus-Information/COVID-19-Vaccine-Information
153,Excela Health Westmoreland Hospital,532 West Pittsburgh Street,,,Greensburg,15601,Westmoreland,724-832-4244,https://www.excelahealth.org/Home/Coronavirus-Information/COVID-19-Vaccine-Information
154,Exeter Township Health Center,2795 Sullivans Trail,,,Falls,18615,Wyoming,570-704-4117,
155,Exton Pharmacy at Marchood,1 Marchood Rd,,,Exton,19341,Chester,610-363-9444,
156,FPC -Mt Pleasant Mills Family Practice Center,9627 Route 35,10,,Mount Pleasant Mills,17853,Snyder,570-539-2561,https://www.fpcdoctors.com/locations/mt-pleasant-mills/
157,FPC-Elizabethtown Family Practice Center,300 Maytown Road,,,Elizabethtown,17022,Lancaster,717-367-1430 ,
158,FPC-Elysburg Family Practice Center,289 South Market Street,,,Elysburg,17824,Northumberland,570-672-9885,https://www.fpcdoctors.com/locations/elysburg/
159,FPC-Enola Family Practice Center,30 EAST SHADY LANE,,,Enola,17025,Cumberland,717-732-4911,https://www.fpcdoctors.com/enola/
160,FPC-Family Practice Center Muncy,10 Shady Lane,103,,Muncy,17756,Lycoming,570-935-0468,
161,FPC-Halifax Family Practice Center,36 South River Road,1,,Halifax,17032,Dauphin,717-827-3428,https://www.fpcdoctors.com/halifax/
162,FPC-Herndon Family Practice Center,1244 State Route 225,,,Herndon,17830,Northumberland,570-758-3511,https://www.fpcdoctors.com/herndon/
163,FPC-Hughesville Family Practice Center,246 South Main Street,,,Hughesville,17737,Lycoming,,
164,FPC-Lewisberry Red Cedar Family Prac Center,689 Yorktown Rd,,,Lewisberry,17339,York,717-932-4050,https://www.fpcdoctors.com/lewisberry/
165,FPC-Lewisburg Family Practice Center,131 JPM Road,A,Suite A,Lewisburg,17837,Union,570-523-6115,https://www.fpcdoctors.com/lewisburg/
166,FPC-Londonderry Medical Associates,4830 Londonderry Road,,,Harrisburg,17109,Dauphin,717-657-2595,
167,FPC-Middleburg Family Practice Center,1 Dock Hill Road,,,Middleburg,17842,Snyder,570-837-5889,https://www.fpcdoctors.com/middleburg/
168,FPC-Mifflinburg Family Practice Center,137 Forest Hill Rd,,,Mifflinburg,17844,Union,570-966-1004,https://www.fpcdoctors.com/locations/mifflinburg/
169,FPC-Mifflintown Family Practice Center,2813 Industrial Park Road,Suite C,,Mifflintown,17059,Juniata,717-436-8283,
170,FPC-Mill Hall Family Practice Center,7133 Nittany Valley Drive,,,Mill Hall,17751,Clinton,570-726-7992,https://www.fpcdoctors.com/mill-hall/
171,FPC-Millersburg Family Practice Center,100 South First St,,,Millersburg,17061,Dauphin,717-692-4834,https://www.fpcdoctors.com/millersburg/
172,FPC-Montoursville Family Practice Center,1500 Broad Center,B,,Montoursville,17754,Lycoming,570-368-2801,https://www.fpcdoctors.com/montoursville/
173,FPC-Pagana Defazio Family Practice Center,1072 MARKET ST,,,Sunbury,17801,Northumberland,570-286-8521,https://www.fpcdoctors.com/sunbury-pagana-defazio/
174,FPC-Selinsgrove 1 Family Practice Center,21 Susquehanna Valley Mall Drive,A,,Selinsgrove,17870,Snyder,570-374-7852,https://www.fpcdoctors.com/locations/selinsgrove/
175,FPC-Selinsgrove 2 Family Practice Center,21 Susquehanna Valley Mall Drive,D,,Selinsgrove,17870,Snyder,570-374-7852,https://www.fpcdoctors.com/selinsgrove-pagana/
176,FPC-Shamokin Dam Family Practice Center,3057 N Susquehanna Trail,,PO Box 310,Shamokin Dam,17876,Snyder,570-743-1112,https://www.fpcdoctors.com/locations/shamokin-dam/
177,FPC-Southside Family Medicine,699 Hastings Street,,,South Williamsport,17702,Lycoming,570-327-1335,
178,FPC-Steelton South Family Practice Center,30 South Front Street,,,Steelton,17113,Dauphin,717-939-9831,https://www.fpcdoctors.com/steelton-south/
179,FPC-Sunbury Family Practice Center,409 N 4th Street,,,Sunbury,17801,Northumberland,570-286-1482,https://www.fpcdoctors.com/sunbury/
180,FPC-Valley View Family Practice Center,105 W Main Street,,,Valley View,17983,Schuylkill,570-682-8026,
181,FPC-Watsontown Family Practice Center,12560 State Route 405,,,Watsontown,17777,Northumberland,570-538-2501,https://www.fpcdoctors.com/watsontown/
182,Family 1 Pharmacy,4005 Veterans Hwy,,,Levittown,19056,Bucks,215-943-2221,https://www.family1pharmacy.com/
183,Family First Health-Columbia Center,369 Locust Street,,1st Floor,Columbia,17512,Lancaster,717-342-2577,https://www.familyfirsthealth.org/locations/columbia-medical
184,Family First Health-George Street Center,116 South George Street,200,,York,17401,York,717-356-2242,https://www.familyfirsthealth.org/covid-19-vaccine-info
185,Family First Health-Gettysburg Center,Peebles Plaza,,1275-17 York Road,Gettysburg,17325,Adams,717-337-9400,https://www.familyfirsthealth.org/locations/gettysburg
186,Family First Health-Hannah Penn Center,415 East Boundary Avenue,,,York,17403,York,717-843-5174,https://www.familyfirsthealth.org/locations/hannah-penn
187,Family First Health-Hanover Center,1230 High Street,,,Hanover,17331,York,717-632-9052,https://www.familyfirsthealth.org/locations/hanover
188,Family First Health-Lewisberry Center,308 Market Street,,P.O. Box 23,Lewisberry,17339,York,717-938-6695,https://www.familyfirsthealth.org/locations/lewisberry
189,Family Halth Clinic of Bk-Susquehanna,2872 Turnpike Street,,,Susquehanna,18847,Susquehanna,570-853-3135,
190,Family Health Care Center of Punxsutawney,83 Hillcrest Drive,200,,Punxsutawney,15767,Jefferson,814-938-3550,
191,Family Matters Direct Primary Care,4284 William Flinn Highway,102,,Allison Park,15101,Allegheny,412-685-3373,https://www.familymattersdpc.com/resources/vax
192,Family Pharmacy of  Jessup,128 Constitution Ave,,,Jessup,18434,Lackawanna,570-383-7311,https://www.mygnp.com/pharmacies/family-pharmacy-of-jessup-jessup-pa-18434-1224/
